English,Tagalog
dessert,himagas
destining,naglalaan
deter,magpaudlot
devious,lihis
diarrhea,pagtatae
diesel,krudo
different,iba
differing,nagkakaiba
difficult,mahirap
difficulty,hirap
dinner,hapunan
dirt,dumi
dirty,marumi
disagreement,di-pagkakasundo
disagreement,talibadbad
disappointed,mabigo
disclaim,magkaila
discount,tawad
discount,deskuwento
discriminates,magtanggi
discussion,pag-uusap
discussion,talakayan
disengaged,tinanggal
disgusting,naiinis
dislocated,linsad
disparaged,nanghamak
disrobed,naghubad
dissolve,tunaw
distends,magpapintog
diver,maninisid
diverted,binago
divide,hahatiin
do you want,gusto mo
do you want,gusto mong
docile,napadadala sa agos
doctor,doktor
document,papeles
domestic,maamo
don't,huwag
door,pinto
doorkeeper,bantay-pinto
doubt,pangamba
doubtful,alanganin
doubtful,ulik
dough,masa
"dowel, peg",sabat
down,pababa
dozen,dosena
drank,ininum
dredge net,kaladkad
dressed up,bihisan
dried bark,balakbak
dried fish,daing
drink,inumin
driveling,naglalaway
driver,drayber
driving,pagmamaneho
drop,alisan
dropsy,tabang-lamig
drugstore,botika
drunk,lasing
drunkard,lasenggo
drunken,lasing
dry season,tag-init
dryer,patuyuan
drying,ibinibilad
dubs,magpalayaw
duck,itik
duckling,bibi
"dumb, mute",pipi
dumbfounding,natitigilan
during,habang
dwarf,bulilit
dysentery,disinteriya
each,bawat
eager,sabik
ear,tainga
early,maaga
east,silangan
easy,madali
eat,kumain
ecclesiastic,pari
economics,ekonomiya
edible,puwedeng kainin
eel,igat
eel,palos
efficacious,mabisa
egg,itlog
eighteen,labingwalo
ejaculates,bumulalas
elected,napili
election,halalan
elf,duwende
eliciting,tinatamo
elongates,magpahaba
embeds,maglatag
emotion,damdamin
employee,empleado
employer,amuin
empty talk,ngawngaw
encouraged,napasigla
end,katapusan
england,inglatera
enlightenment,paliwanag
enough,tama na
enriching,nagpayaman
enslaves,umalipin
entombs,maglibing
entrails,lamang-loob
envelope,sobre
especially,bayanihan
evacuation,bakwit
every,lahat
everyone,lahat
everything,lahat
exactly!,tama
example,halimbawa
exasperation,bugnot
excellent,napakagaling
except,liban sa
excessive,lampas
excessive,sobrado
excessively,higit
exchange,magpalit
excursion,iskursiyon
exit,labasan
expansion,pagpapalaki
expected,inaasahan
expenses,gastos
expenses,gastos
extensive,masaklaw
extent,nasasakop
eye,mata
face,mukha
facing,haharapin
fallen flat,bulagta
fallen out,bulos
family,pamilya
fan,paypay
far,malayo
fare,pumasahe
farm help,kasama
fast,mabilis
fat,mataba
father-in-law,biyenang lalaki
fatigued,hapo
faucet,gripo
favor,pabor
favor,paunlakan
fawned,naglangis
fear,takot
fee,bayad
feet up,tiwarik
fern,pako
fervor,kaalaban
fever,lagnat
fiber,himaymay
"fierce, stern",mabalasik
fight,laban
film,pelikula
fine,pino
fine (good),mainain
finger,daliri
fingernail,kuko
finish,tapos
finished,tapos na
finished,natapos
finished,rematado
fire,sunog
firm,mahigpit
first name,pangalan
first rinsing,banlaw
fish,isda
fish hook,kawil
fisherman,mangingidsa
fishnet,lambat
fist,kamao
flamboyant,nakasisilaw
flat tire,plat
flatfish,palad
flattery,hibo
flooded,bumaha
floor,sahig
flower,bulaklak
fly,langaw
flying fish,bolador
fodder,kinumpay
fold,pileges
folk dance,subli
food,pagkain
foot,paa
footstep,tapak
for,kay
for,para
forbids,pinagbawal
foreigner,banyaga
forerunner,tagapagbalita
forest,kagubatan
forget,kalimutan
forgetful,nakalimutan
formulate,bumalangkas
formulated,bumalangkas
fountain,bukal
free,libre
freight car,bagon
fresh,sariwa
friction,alitan
fried,prito
fried egg,pritong
friend,kaibigan
friend,chongki
friendly,mabait
friendly,magiliw
friendly,sosyal
from,galing
front,harap
front,bungarin
fruit,prutas
frustrated,namayabas
frustrated,unsiyami
fuck,kumantot
full,puno
full of food,busog
fundamental,batayan
fury,sasal
gall bladder,apdo
gamecock,sasabungin
garbage,basura
garden,halamanan
gargle,imumug
garlic,bawang
gasoline,gasolina
gelded,kapon
gesticulating,ikinukukumpas-kumpas
get,kumuha
get,kunin
get up,bumangon
ghost,multo
gift,regalo
ginger,luya
girlfriend,syota
given,ibinigay
glass,baso
glory,luwalhati
"glow, glitter",dabdab
go!,lakad
goat,kambing
god,bathala
god,diyos
godfather,ninong
gold,ginto
goldfinch,kardelina
good,mabuti
goods,ari-arian
gospel,ebanghelyo
grabbing,sinusunggaban
"grade, degree",baitang
grandchild,apo
grandfather,lolo
grandmother,lola
grandmother,lola
grass,damo
GRASS,damo
gratify,magbigay-kasiyahan
great,dakila
green,berde
grieving,luksa
grinds,gumiling
groggy,nahihilo
guardian,tagapag-alaga
guess,haka
guest,bisita
guest speaker,panauhing tagapagsalita
guide,giya
guitar,gitara
gun,baril
gurgle,bulubok
guzzle,lumaklak
gyrating,napapaikot
hair,buhok
haircut,magpagupit
half,kalahati
half,medyo
half,kalahati
hammer,martilyo
hampered,nakahadlang
hand,kamay
handbook,muntaklat
handrail,pasamano
handsome,pogi
handspike,panungkal
hanging down,tagustos
happy,maligaya
harbor,puwerto
hard,matigas
hardly,bahagya
hat,sumbrero
hat band,liston
hatchery,pamisaan
haunt,pamugaran
have,magkaroon
have fun,magsaya
he,siya
head lice,kuto
headache,sakit ng ulo
headache,sakit ng ulo
heart,puso
heat,init
heavens,sangkalangitan
heavy,mabigat
heckling,nangangantiyaw
heightens,magpataas
help,saklolo
help-fund,abuloy
hem,lupi
hence,kaya
her,kanya
her,niya
here,dito
hereditary,namamana
hiccup,sinok
high tide,taib
high tide,taeb
highway,kalsada
hike,maglakad
hill,burol
his,kaya
his,niya
hoarse,paus
hoax,salamangka
hold-up,hulidap
hole,butas
holy child,ninyo-santo
hope,pag-asa
horse,kabayo
hospital,ospital
host,maybahay
hot,mainit
hotel,hotel
hour,oras
housemaid,tsimay
housewife,maybahay
how,magkano
how,paano
how much,magkano
how to,sobra
huddled,nag-umpukan
hunger,gutom
hurled,balibag
hurtful,masakit
hut,kubo
I and others),kami
i see,ganun
idea,akalain
idea,mag-akala
identical,pareho
idiot,tanga
idiot,kalabasa
idle,tamad
idle,tamad
idol,anito
if,kung
if ever,pag
ill-treating,nagmamalupit
illumination,ilawan
illustrative,nakapagpapaliwanag
i'm sorry,dinaramdam ko
i'm sorry,sori
impede,makahadlang
impertinent,bastos
impolite,bastos
important,mahalaga
impossible,hindi puwede
in,nasa
in,sa
in front,sa harap
in heat,el
inauguration,inagurasyon
inclined,bilingin
inclined,nagka-hilig
incorporated,langkap
increased,dumami
indeed,nga
independence,kalayaan
inducting,itinatalaga
inebriated,lasing
inexact,di-eksakto
infected,hawa-hawa
infection,impeksiyon
inflame,magpaalab
inflammation,pamamaga
inflexible,di-mabaluktot
informative,nakapagtuturo
inquisitive,maurira
insect,kulisap
inside,sa loob
installation,pasinaya
installment,labis
insubstantial,marupok
insufficient,kapos
intelligent,matalino
interested,ganado
interested in,mahilig sa
interposed,namagitan
interpreter,tagasalin
intreating,nagmamakaawa
invades,lumusob
inverting,nagtitiwarik
invitation,imbitasyon
invite,mag-anyaya
island,pulo
isn't it?,diba?
it,ito
itchy,makati
it's,niya
it's a pity!,sayang
jackfruit,langka
January,Enero
jasmine,hasmin
javelin,diyabilin
jeepney,diyip
jeer,toyain
jellyfish,dikya
jellyfish,salabay
Jewish,Hudyo
join,sumama
joint,sugpungan
joke,biro
joke,tukso
joy,ligaya
judge,hukom
judge,tagahatol
juice,juice
jujitsu,diyuditsu
jungle,gubat
kanya,hers
kanya,his
kanya,his/hers
key,susi
kilogram,kilo
kilometer,kilometro
kind,mabait
kiss,halik
kissing`,hahalikan
kitchen,kusina
knife,kutsilyo
knock-kneed,piki
KOYAT,betchot
lacking,sahol
lacquering,nagbabarnis
lake,lawa
lamp,ilawan
land,lupa
landing,daungan
large,malaki
large bag,bayong
large hoe,asarol
large needle,aguhon
last,huli
late,mahuli
later on,mamaya
launch,lantsa
laundry,labada
laziness,katamaran
lazy,tamad
leaf,dahon
league,liga
leap,lumundag
leaped,lumundag
leaps,lumundag
leather,katad
leaven,pampaalsa
ledge,pasamano
leeway,pasobra
left,kaliwa
left-side,kaliwa
leg,binti
lemon,kalamansi
lemon grass,tanglad
lemonade,limonada
lend,magpahiram
lengthens,magpahaba
lens,lente
less,kakaunti
less,menos
letter,sulat
lettuce,letsugas
liar,sinungaling
lice comb,suyod
life,buhay
lifeguard,tagapagligtas
lifelessness,lamlam
lifesaver,salbabida
light,maliwanag
lightning,kidlat
lightning,lintik
like,gusto
like that,ganoon
like this,ganito
lilac,lila
limb,paa
limit,hangganan
linguist,lingguwista
list,tala
listen,makinig
listening,nakikinig
liter,litro
little,kaunti
little,maliit
lizard,buiki
loaf,hiwa
lobster,sugpo
logic,lohika
long skirt,saya
long-legged,tayangkad
looking,nakatingin
lost,nawala
"lost, astray",dalingsil
lottery drum,tambiyolo
louse,kuto
love,pag-ibig
low,baba
low,bumaba
low tide,kati
lowly slave,busabos
lubricate,maglangis
lucky,mapalad
lucky,suwerte
lug,kumaladkad
luga earwax,luga
lump,umbok
lunch,tanghalian
ma,inay
machete,itak
machine,makina
macho,chick boy
maid,katulong
majesty,kataasan
make,gumawa
make,gumawa
makulit,annoying
malaria,malarya
male,lalaki
male genitals,buto
maltreating,nagmamalupit
man (human),lalaki
man (human),tao
mange,dusdos
mango,mangga
manila,maynila
many,marami
"mark, brand",marka
market (big),palengke
married,may asawa
marrow,mautak sa buto
masterpiece,obra-maestra
mat,banig
match,posporo
matriculating,nagmamatrikula
mawkish,nakaiinis
may,maaari
May,Mayo
maybe,marahil
me,ko
meal,pagkain
meant for,nakalaan
measles,tigdis
meat,karne
medicine,gamot
meet,makilala
member,kasapi
merry,masaya
message,nasulatan
meter,metro
middle,gitna
midnight,hatinggabi
migratory,palipat-lipat
milk,gatas
milk fish,bangus
mimosa pudica,makahiya
mingled,nakihalo
mingling,nakikihalo
minister,pastor
minus,menos
minute,minuto
mirror,salamin
mistake,magkamali
mister,mama
mitigated,nagpagaan
mobilized,nagpakilos
moderate,regular
moist,basa-basa
moistens,basa-basain
mold,bubo
molest,gambalain
molten,tinunaw
money,pera
monkey,unggoy
monopoly,laguplop
monsoon (sw),habagat
month,buwan
moon,buwan
moray eel,pinangitan
more,pa
mortar,bayuhan
mortgage,sangla
mosquito,lamok
mosquito net,kulambo
mother,ina
mother-in-law,biyenang babae
motor,motor
motor boat,bangkang de motor
mountain,bundok
mouse,daga
moustache,bigote
mouth,bibig
movie,sine
mr./mrs.,g./gng.
much,marami
mud,putik
mushroom,kabuti
musician,musiko
mussel,lukan
must,kailangan
muttered,bumulong-bulong
my,ko
nail,pako
naked,hubad
name of thing,tawag
napkin,napkin
narrow,makitid
nationality,nasyonalidad
naturally,siyempre
nature,kalikasan
nausea,alimbukay
navy,hukbong-dagat
near,malapit
nearness,kalapituan
necessary,kailangan
neck,leeg
need,kawalan
needle,magturok
neglected,tiwalwal
neighbor,kapitbahay
never,hindi kailanman
nevermind,hind bale
newspaper,diyaryo
newspaper,pahayagan
nibble.,kuko
nice,maganda
night,gabi
nimbus,nimbo
no,hindi
noise,ingay
noisy quarrel,bangay
nonsense,kalokohan
noon,tanghali
north,hilaga
nose,ilong
not,hindi
notch,sangat
novelist,nobelista
now,ngayon
numb,namamanhid
obsession,himaling
occupation,hanapbuhay
occupied,ukupado
of,ng
of course,siyempre
offering,ialay
office,opisina
offseting,nagpapaluwag
often,madalas
old (persons),matanda
old (things),luma
old hag,bruha
on,nasa
on top,sa ibabaw
once,minsan
one more,isa pa
onion,sibuyas
only,lamang
only,lang
open,bukas
open,aliwalas
open sea,laot
"open, frank",lansak
open-mouthed,nakanganga
opposed,laban
or,o
or kerchief,balabalan
or tomatoes,maggisa
or trousers,sukbit
"or, otherwise",o kaya'y
order,order
order,bilin
order,direksiyon
ordinary,karaniwang
origin,pamulaan
other,iba
our,namin
our,natin
ours,atin
outdoes,dumaig
outside,sa labas
outwear,maubos
over,tapos
over there,pumaroon
overarchs,bumalantok
overcoat,balabal
overflowing,saloy
overlapped,nagkasanib
overload,tambanggalan
overseeing,namamahala
owner,may-ari
oyster,talaba
pa,taytay
package,pakete
"pact, treaty",sundo
paddle,sagwan
pain,sakit
painful,masakit
pale,maputla
pamangkin,neice
pan (wok),kawali
panel,sadlakan
pants,pantalon
paper,papel
parent,magulang
parents,mga magulang
park,liwasan
parked,nakaparada
parrot,loro
part,parte
partner,kasama
partner,papasama
party,salu-salo
pass by,magdaan
pass by,lumipas
passed,pumasa
passenger,pasahero
passport,pasaporte
password,hudyat
path,daan
path,kalsada
patience,pasyensiya
patient,tiyaga
paunch,tiyan
pay,magbayad
payment,bayad
peace,kapayapaan
peanut,mani
pecking,tinutuka
peeled off,lapnos
peeled off,tuklap
peelings,balat
people,mga tao
pepper,paminta
perentage,angkan
perhaps,siguro
perhaps,baks
period,tuldok
permission,maka--
person,tao
person,taong
personal,panao
peso,piso
petiole,tangkay
pharmacy,botika
philippines,pilipinas
phlebotomy,tabad
photograph,larawan
physics,pisika
pickaxe,piko
pick-axe,patik
piece,piraso
pier,piyer
pill,pildora
pineapple,pinya
place,lugar
place of rest,himlay
plague,salot
plain,liso
plan,plano
plant,halaman
plastered,tinapalan
plate,plato
please,paki
please,ngani
pocket,bulsa
pockmarks,tibatib
poignant,masidhi
pointed,matulis
poisonous,may lason
police,polis
policeman,pulis
policy,patakaran
poor person,dukha
popularizing,nagpapatanyag
pork,karneng baboy
port,puwerto
portrait,larawan
possible,maaari
possible,puwede
post office,pos-opis
posture,bikas
posture,tindig
pot,kaserola
potato,patatas
pounces,sumagpang
pound,dumurog
pound,durog
praise,papuri
praise,puri
predisposing,naglalantad
pregnant,buntis
presbytery,presbiteryo
pretty,kaakit-akit
pretty,marikit
price,halaga
price,presyo
price,halaga
priest,pari
principally,lalong-lalo
print,bakas
prison,kulong
private,pribado
problem,problema
problems,problema
procecutes,isakdal
professing,nagpapahayag
prohibited,bawal
promise,pangako
promptness,agap
promulgated,nagpalaganap
promulgates,magpalaganap
property,ari
prophesied,hinulaan
prose,tuluyan
prostitute,ugoy-ugoy
prostrated,bumulagta
protrude,lumabas
proven,napatunayan
provisions,panustos
pruning,laying
pull,humila
pull out,bubuntan
puny,bulilit
pure,dalisay
purled,lumagaslas
purling,lumagagaslas
purpose,hagad
pus in ear,luga
push,itulak
put,ilagay
pygmy,bulilit
quadruple,apatan
question,tanong
quick,mabilis
quick,listo
quick bite,sakmal
quiet,tahimik
radiation,ninag
radio,radyo
radish,labanos
radish,labanos
rainy season,tag-ulan
raisin,pasas
rambling,maligoy
rank,linea
rapacity,parugo
rat,daga
rate,bayad
ravine,bangin
raw,hilaw
rayfish,pagi
read,bumasa
ready,handa
really,naman
really,nga
really,ngang
rear,huli
rear,likod
rear end,buntot
reason,dahilan
rebuffing,tumatanggi
receipt,resibo
received,tumanggap
receptionist,tagatanggap
record,plaka
red,pula
reef,batuhan
refrigerator,pridyder
regards,kumusta
region,lugar
reign,pangangasiwa
relapse,binatin
relationship,pinagsamahan
relative,kamag-anak
religion,relihiyon
remember,matandaan
remind,magpaalaala
reminded,ipinaalala
repair,kumpuni
repair,magkumpuni
reputation,reputasyon
resented,nagalit
resident,naninirahan
resigned,nagbitiw
respectable,mainam
respectful,igalang
result in,tapos
return,bumalik
reverse side,likod
ribs,apad
rice field,palayan
rice mill,kiskisan
rice seed,palay
rich,mayaman
ride,sakay
rigid,matibay
ripe,hinog
rising,tumataas
river,ilog
road,daan
robber,magnanakaw
robbing,nagnanakaw
rock,bato
roof,bubong
room,kuwarto
rope,lubid
"rope, cable",banting
rotten,sira
rotten,bugok
rotten (eggs),bugok
rubber hose,gomang pandilig
rubbish,yamutmot
rudder,timon
rural toilet,kubita
sack,sako
sad,malungkot
safest,pinaka-tiwasay
said,sabi
said,sinabi
sail,layag
salable,mabili
salad,ensalada
salary,sahod
saline,maalat
saltiness,kaalatan
salute,saludo
saluted,sumaludo
same,pareho
sand,buhangin
sandwich,sanwits
satiate,busugin
satiating,nakakabusog
sausage,longganisa
"savage, wild",masukal
sawfish,lagaring-pating
say,sabihin
scaling,inaakyat
scapular,eskapularyo
scared,natakot
scarlet,eskarlata
scenery,tanawin
school,paaralan
schoolhouses,bahay-paaralan
scissors,gunting
scrambled egg,iskrambol
screen,panambil
scrub,maglampaso
sea,dagat
sea turtle,pawikan
sea urchin,tayom
"seal, stamp",timbre
seasick,nalulula
seaweed,lato
secret,lingid
secret,sekreto
see,makita
see dako,dakota
see deliryo,diliryo
see kilos,kumilos
seeked,nahanap
seen,makakakita
seizes,sumamsam
seldom,bihira
self,sarili
sell,magbili
send,magpadala
sentencing,hinahatulan
"serene, suave",anayad
serious,tamak
set on fire,sumumog
setback,sagabal
seventeen,labimpito
several,mga ilan
sew,magtahi
shade,lilim
shady,malilim
shallow,mababaw
shamming,nagkukunwari
shampoo,siyampu
shark,pating
sharp,matalim
shave,magahit
she,siya
shell,siyel
shelter,silungan
ship,barko
shirt,kamisadentro
shoe,sapatos
shoo!,wa!
shore,tabing-dagat
shore,baybay-dagat
short (brief),maikli
short trip,pasyal
shot,nabaril
shout,sumigaw
shovel,pala
show,ipakita
shower (bath),ligo
shower (bath),shower
showmaker,sapatero
shrimp,hipon
shrimp pond,palahipunan
shrub,palumpong
shut,isara
sick,maysakit
sickle,karit
side,tabi
sideways,suliling
sign,hudyat
signature,pirma
silver,pilak
similar,katulad
similar,pareho
similar,pares
since,mula noon
sing,kumanta
singer,mang-aawit
sir,ser
sir.,po
sister,kapatid na babae
sister-in-law,hipag
skin blemish,silam
skips,laktawan
skirt,isukbit
skulks,subukan
skulks,susubukan
sky,langit
sky,langit
sloping,lumilibis
slow,mabagal
slowly,mabagal
slowly,dahan-dahan
slowly!,dahan-dahan
small,maliit
small mark,kudlit
snack,miryenda
snout,ngusngos
so that,para
soaking,nagbababad
soap,sabon
sobbing,humihikbihikbi
society,sosyedad
sock,medyas
"soft, tender",malambot
soldier,sundalo
solemly,napakatahimik
solicited,humingi
solution,paliwanag
some (a few),ilan
some (about),mga
someone,tao
somewhat,medyo
song,kanta
soon,mamaya
soup,sopas
sour,maasim
south,timog
souvernir,alalahanin
space between,patlang
spanking,sinasampal
spatula,siyense
speak,magsalita
speargun,pana
spherical,bilugan
spicy hot,maanghang
splendor,sikat
split,sipak
spoon,kutsara
"spot, stain",batik
spreads,magkalat
spring water,bukal
square,plasa
squeaked,lumangitngit
stairs,hagdanan
stakes,tumaya
star,bituin
star fruit,balimbing
starch,apa
state,estado
steal,magnakaw
steep,matarik
steep,tarik
stem,tangkay
sticking,paninikit
still,pa
still (yet),pa
stingy,kuripot
stirrup,estribo
stockade,limpi
stone,bato
stoned,bato
stop!,hinto
stop!,para
strangle,sumakal
street,kalye
strict,bagsik
string,tali
striving,nagsusumikap
strong,malakas
stubborn,kulit
stubborn,terko
student,estudyante
stupid,tanga
stupid,gago
stupid,tandyent
stupid,tugak
"stupid, dull",sano
submarine,submarino
subtract,magbawas
such,ganyan
sudden,dagsa
suddenly,bigla
suddenly,bumigla
suffered,nagtiis
suffering,dusa
suitcase,maleta
"sultry, humid",AALINSANGAN
summarize,lumagom
sunburn,sunog
sunburn,sunog ng araw
sunken,hupyak
sunrise,madaling-araw
sunset,takipsilim
sure!,oo ba
surety,piyansa
surname,apelyido
surrounded,kulong
suspending,bitinin
sweet,kamote
sweet,matamis
sweet potato,kamote
sweetheart,nobya
sweetheart,oyab
swim,maglangoy
switch,pagpalitin
symbolized,nagsagisag
table,mesa
Tagalog slang,bumanat
tail,buntot
tailless,tukong
tailor,sastre
take,kuha
take a rest,magpahinga
take part in,sali
taken,ukupado
talented,dunong
talk,magsalita
talk together,mag usap
tall,mataas
tamarind,sampalok
taste,lasa
tasty,masarap
taxi,taksi
taxi-dancer,ugoy
teacher,guro
teaspoon,kutsarita
telephone,telepono
television,telebisyon
tell,sabihin
terrible,kakila-kilabot
terriblly,katakut-takot
than,kaysa
than,kaysa
thank you,salamat
thanks,salamat
that (object),iyon
thawed,tinunaw
the side,probinsya
theatre,sinehan
theft,pagnanakaw
their,nila
then,saka
then (next),pagkatapos
there,diyan
there,doon
thereby,sa gayon
they,sila
thief,magnanakaw
thin,manipis
thin as a rod,walis-tingting
think,magisip
this,ito
thread,sinulid
throng,hurung-hurong
throw away,magtapon
thwart,bumigo
ticket,tiket
time,panahon
tinsmith,estaniador
tire (car),goma
tired,pagod
to,sa
to abstain,magpigil
to ache,sakit
to aid,asisti
to allow,atamin
to annoy,surahan
to answer,sumagot
to ask,magtanong
to back,bumalik
to back up,atras
to be delayed,maantala
to be dented,yupi
to be fired,masisante
to be hungry,magutom
to be scared,tabon
to be sick,maysakit
to be thirsty,nauuhaw
to be wasted,aksayahin
to bear,taglayin
to become ill,sumama
to bend,liko
to bend,lumiko
to bless,pala
to board,sumakay
to boil,kumulo
to boil,pakuluin
to bribe,suhol
to budge,tuminag
to bum,laboy
to burn,masunog
to buy,bumili
to buy,magbili
to caress,lambing
to carry,magdala
to celebrate,ipagsaya
to chill,kilig
to clasp,ipitin
to cleanse,magbanlaw
to compensate,bayad
to compliment,pumuri
to connect,ugnay
to continue,ituloy
to correct,wasto
to count,magbilang
to court,suyuin
to crack,magbasag
to crave for,magmithi
to curse,sumpa
to cut down,ibuwal
to dance,sumayaw
to dedicate,ialay
to defend,tanggol
to depart,alis
to deposit,maglagak
to destroy,sumira
to destroy,puksa
to digest,tunaw
to disturb,gambalain
to disturb,istorbohin
to eat,kumain
to embrace,yakap
to enjoy,malugod
to enter,pumasok
to enter,magpasok
to entertain,asikaso
to equal,tumbasan
to equal,tumumbas
to exhibit,magtanghal
to face,harapin
to fall,mahulog
